,sloc_physical_mod_list,sloc_logical_mod_list,param_mod_list
987,361,314,7
988,49,35,2
989,453,313,41
990,195,170,10
991,574,227,31
992,67,63,0
993,447,305,40
994,26,21,0
995,117,117,0
996,16,12,2
997,21,14,0
998,1,0,0
999,1,0,0
1000,72,66,0
1001,25,16,3
1002,79,58,4
1003,37,20,0
1004,446,356,18
1005,59,46,1
1006,32,0,0
1007,36,27,0
1008,7,4,4
1009,28,21,0
1010,1,0,0
1011,552,435,25
1012,12,9,2
1013,116,79,0
1014,56,37,4
1015,35,24,4
1016,22,14,7
1017,35,23,3
1018,22,13,0
1019,52,53,4
1020,32,28,0
1021,80,58,3
1022,113,45,0
1023,421,408,1
1024,59,49,2
1025,621,455,23
1026,4339,1604,139
1027,31,23,0
1028,49,32,2
1029,1,0,0
1030,313,34,0
1031,123,17,0
1032,109,96,8
1033,51,49,0
1034,53,41,0
1035,7,7,0
1036,35,46,12
1037,3,2,1
1038,108,75,0
1039,144,86,5
1040,1,0,0
1041,223,96,9
1042,145,131,0
1043,138,107,2
1044,40,30,0
1045,155,96,0
1046,1,0,0
1047,79,4,3
1048,1,0,0
1049,80,43,2
1050,102,62,2
1051,111,62,4
1052,9,4,0
1053,51,40,0
1054,21,14,0
1055,47,26,0
1056,44,32,0
1057,9,9,0
1058,213,0,0
1059,157,0,0
1060,6,0,0
1061,5,2,3
1062,37,0,0
1063,57,46,2
1064,42,26,0
1065,29,22,0
1066,68,45,0
1067,36,25,0
1068,123,71,0
1069,74,42,2
1070,69,45,0
1071,49,33,2
1072,27,18,0
1073,283,27,0
1074,47,29,10
1075,23,20,0
1076,33,22,0
1077,44,37,3
1078,90,54,7
1079,33,26,0
1080,62,21,0
1081,60,46,0
1082,73,20,0
1083,34,18,0
1084,149,60,0
1085,163,125,10
1086,113,89,10
1087,96,90,0
1088,13,8,0
1089,12,10,0
1090,43,31,6
1091,112,75,2
1092,43,35,0
1093,56,41,0
1094,55,36,0
1095,98,66,2
1096,71,60,7
1097,114,80,2
1098,49,30,2
1099,102,70,0
1100,1639,934,74
1101,18,15,0
1102,35,22,0
1103,9,6,0
1104,21,17,0
1105,12,8,0
1106,1,0,0
1107,72,44,8
1108,1938,460,63
1109,29,21,1
1110,57,0,0
1111,6,0,0
1112,41,21,0
1113,10,0,0
1114,26,0,0
1115,68,0,0
1116,26,28,1
1117,49,40,0
1118,32,24,0
1119,37,21,0
1120,52,13,0
1121,26,17,0
1122,149,38,9
1123,70,49,0
1124,46,25,0
1125,326,56,2
1126,106,56,0
1127,48,33,0
1128,41,22,3
1129,198,35,0
1130,48,31,4
1131,197,75,0
1132,996,43,4
1133,78,50,0
1134,485,68,9
1135,28,24,0
1136,91,83,0
1137,90,58,9
1138,37,27,10
1139,146,86,23
1140,1,0,0
1141,276,100,16
1142,15,9,0
1143,339,84,8
1144,124,77,7
1145,1,0,0
1146,34,21,3
1147,118,75,8
1148,101,64,4
1149,18,12,7
1150,338,191,20
1151,49,31,0
1152,74,48,2
1153,353,69,8
1154,94,78,3
1155,25,17,1
1156,87,52,0
1157,48,33,0
1158,188,144,0
1159,205,50,3
1160,64,50,0
1161,250,153,20
1162,54,35,3
1163,780,2087,1
1164,129,89,0
1165,142,106,0
1166,565,73,10
1167,654,73,1
1168,360,256,22
1169,33,22,0
1170,73,45,0
1171,81,60,0
1172,62,53,4
1173,106,87,4
1174,1381,114,29
1175,68,47,1
1176,17,12,0
1177,606,85,7
1178,239,176,12
1179,123,63,4
1180,20,13,0
1181,284,181,2
1182,1639,934,74
1183,73,64,6
1184,11,6,0
1185,110,40,0
1186,52,40,0
1187,212,153,0
1188,90,59,0
1189,651,87,16
1190,111,86,9
1191,37,23,3
1192,57,39,3
1193,117,72,0
1194,66,38,0
1195,88,54,4
1196,79,53,2
1197,79,61,0
1198,106,87,4
1199,107,77,0
1200,81,66,3
1201,58,36,0
1202,44,33,0
1203,79,61,0
1204,306,115,40
1205,143,122,14
1206,81,60,8
1207,124,77,7
1208,1,0,0
1209,104,63,0
1210,53,31,0
1211,25,19,0
1212,135,85,0
1213,26,17,0
1214,73,49,0
1215,119,86,0
1216,89,69,5
1217,44,30,0
1218,615,256,44
1219,62,45,2
1220,61,41,0
1221,21,22,0
1222,85,63,5
1223,152,111,5
1224,71,54,2
1225,120,81,0
1226,10,6,0
1227,3,2,0
1228,10,6,0
1229,27,17,0
1230,34,21,0
1231,70,62,2
1232,205,105,33
1233,36,19,0
1234,212,105,11
1235,23,15,3
1236,84,61,2
1237,642,41,1
1238,49,34,0
1239,59,59,0
1240,642,41,1
1241,69,38,0
1242,45,32,0
1243,1196,360,120
1244,587,52,2
1245,67,45,0
1246,21,16,0
1247,147,107,4
1248,33,30,0
1249,95,88,5
1250,21,13,1
1251,592,404,75
1252,51,41,0
1253,69,43,0
1254,87,65,0
1255,139,81,7
1256,116,99,0
1257,64,35,0
1258,12,9,2
1259,24,19,0
1260,28,22,5
1261,56,50,3
1262,1,0,0
1263,147,106,3
1264,130,95,3
1265,63,29,0
1266,252,187,19
1267,75,58,9
1268,32,25,0
1269,327,191,15
1270,100,59,1
1271,356,233,0
1272,387,283,2
1273,59,50,5
1274,59,49,5
1275,400,214,13
1276,185,2,0
1277,58,46,0
1278,294,265,17
1279,65,49,0
1280,172,117,8
1281,432,184,13
1282,187,2,0
1283,58,36,0
1284,108,71,0
1285,228,113,11
1286,23,18,0
1287,568,2,0
1288,79,61,0
1289,30,25,11
1290,105,81,2
1291,15,13,0
1292,67,50,3
1293,234,120,10
1294,41,30,0
1295,32,16,0
1296,51,34,1
1297,87,63,0
1298,121,92,2
1299,18,14,0
1300,71,2,0
1301,23,22,0
1302,92,2,0
1303,147,112,8
1304,211,2,0
1305,361,221,15
1306,117,74,3
1307,47,35,0
1308,35,24,2
1309,57,1,0
1310,28,1,0
1311,34,26,1
1312,133,2,0
1313,26,20,4
1314,75,49,0
1315,115,114,10
1316,151,2,0
1317,58,41,0
1318,53,34,0
1319,332,208,1
1320,66,2,0
1321,97,2,0
1322,227,129,6
1323,535,212,22
1324,189,110,6
1325,48,40,2
1326,82,1391,288
1327,107,79,2
1328,38,28,0
1329,12,9,2
1330,121,83,0
1331,56,37,4
1332,35,24,4
1333,22,14,7
1334,35,23,3
1335,147,89,0
1336,188,127,0
1337,201,113,13
1338,96,61,10
1339,211,107,6
1340,112,98,5
1341,120,113,15
1342,160,2,0
1343,48,27,5
1344,81,74,3
1345,52,47,0
1346,104,86,10
1347,41,38,2
1348,33,26,0
1349,54,39,1
1350,17,20,0
1351,24,19,0
1352,59,27,0
1353,90,47,0
1354,41,37,0
1355,126,86,0
1356,69,50,3
1357,34,20,0
1358,76,50,5
1359,152,111,5
1360,172,110,17
1361,81,40,0
1362,36,22,0
1363,80,62,2
1364,15,12,0
1365,225,2,0
1366,16,13,0
1367,225,2,0
1368,570,347,49
1369,20,18,0
1370,91,2,0
1371,139,127,2
1372,30,31,0
1373,103,2,0
1374,33,21,0
1375,27,3,1
1376,24,10,0
1377,376,264,0
1378,59,49,5
1379,47,35,0
1380,120,75,0
1381,145,54,0
1382,817,541,20
1383,20,19,0
1384,221,2,0
1385,66,52,11
1386,64,39,3
1387,44,36,0
1388,41,37,0
1389,996,43,4
1390,33,20,0
1391,124,77,7
1392,33,21,0
1393,36,21,0
1394,70,51,0
1395,49,46,0
1396,106,95,3
1397,198,152,5
1398,193,133,3
1399,125,89,12
1400,2,2,0
1401,1,0,0
1402,1,0,0
1403,49,32,0
1404,71,56,0
1405,23,0,0
1406,19,0,0
1407,236,140,0
1408,124,92,13
1409,122,84,0
1410,76,55,5
